sensor_noise_0,sensor_0,sensor_noise_1,sensor_1,sensor_noise_2,sensor_2,sensor_noise_3,sensor_3,sensor_noise_4,sensor_4,sensor_noise_5,sensor_5,sensor_noise_6,sensor_6,sensor_noise_7,sensor_7,original_signal
-2.07426961597088e-05,-2.0764357916732523e-05,-2.08693284432358e-05,-2.0890990200259524e-05,-1.93096159897482e-05,-1.9331277746771923e-05,-1.717988503172e-05,-1.720154678874372e-05,-1.51615610795638e-05,-1.5183222836587522e-05,-1.44188781368726e-05,-1.4440539893896322e-05,-1.60295487595892e-05,-1.6051210516612923e-05,-1.88509857590005e-05,-1.8872647516024223e-05,-2.16617570237229e-08
6.24155661574852e-06,6.212077434431101e-06,-5.63289380927879e-07,-5.927685622452976e-07,-3.61132619468156e-06,-3.6408053759989784e-06,2.78187568853934e-07,2.487083875365154e-07,7.91882237186414e-06,7.889343190546721e-06,1.37614231053809e-05,1.3731943924063481e-05,1.54911385439718e-05,1.5461659362654384e-05,1.25284632569879e-05,1.249898407567048e-05,-2.94791813174186e-08
1.93365116750862e-05,1.9302621413485745e-05,2.05178207472329e-05,2.0483930485632443e-05,1.90146125364243e-05,1.8980722274823844e-05,1.55364846793695e-05,1.5502594417769043e-05,1.26717796964579e-05,1.2637889434857445e-05,1.24717317011085e-05,1.2437841439508046e-05,1.41857372665091e-05,1.4151847004908645e-05,1.68401495293835e-05,1.6806259267783042e-05,-3.38902616004552e-08
-1.26724524645767e-05,-1.2707078453574575e-05,-4.68122145707129e-06,-4.715847446069165e-06,7.80759145849896e-07,7.461331568520215e-07,-7.49318973086829e-07,-7.839449620847035e-07,-7.53987626787037e-06,-7.574502256868245e-06,-1.48835678516299e-05,-1.4918193840627775e-05,-1.9376284957034e-05,-1.9410910946031876e-05,-1.85459518618032e-05,-1.8580577850801075e-05,-3.46259889978745e-08
-1.63229595085428e-05,-1.6354801740549566e-05,-2.20846336484309e-05,-2.2116475880437666e-05,-2.32161852549633e-05,-2.3248027486970065e-05,-1.83542245384542e-05,-1.8386066770460966e-05,-1.06475451360548e-05,-1.0679387368061566e-05,-5.27249441585015e-06,-5.304336647856917e-06,-4.8282637974768e-06,-4.860106029483567e-06,-9.43316265426881e-06,-9.465004886275576e-06,-3.18422320067668e-08
3.68311579511718e-05,3.6805095040432505e-05,3.17498883067778e-05,3.1723825396038506e-05,2.72429015206601e-05,2.72168386099208e-05,2.68295686347629e-05,2.68035057240236e-05,3.07168703960788e-05,3.0690807485339504e-05,3.61336611461625e-05,3.61075982354232e-05,3.98323970481298e-05,3.9806334137390504e-05,3.99927348012183e-05,3.9966671890479e-05,-2.60629107393001e-08
-1.03018030783858e-05,-1.0319887904021655e-05,-5.15348803102738e-07,-5.334336287385935e-07,2.90668832453748e-06,2.8886034989016246e-06,-3.13883351322373e-06,-3.1569183388595856e-06,-1.42967162124783e-05,-1.4314801038114155e-05,-2.33482924398993e-05,-2.3366377265535157e-05,-2.60164794021971e-05,-2.603456422783296e-05,-2.06667280714101e-05,-2.0684812897045955e-05,-1.80848256358556e-08
-2.90963626957381e-05,-2.9105223156385257e-05,-3.06163381592881e-05,-3.0625198619935256e-05,-2.64982924867682e-05,-2.6507152947415355e-05,-1.92367022440961e-05,-1.9245562704743254e-05,-1.37056109285914e-05,-1.3714471389238554e-05,-1.32461038293463e-05,-1.3254964289993453e-05,-1.72576081109293e-05,-1.7266468571576454e-05,-2.35764821220548e-05,-2.3585342582701955e-05,-8.86046064715451e-09
2.23854344625587e-05,2.2386053715579408e-05,1.59130600885252e-05,1.591367934154591e-05,1.18149376327059e-05,1.1815556885726609e-05,1.36305313611013e-05,1.3631150614122008e-05,2.00141495084273e-05,2.001476876144801e-05,2.65324191815041e-05,2.6533038434524807e-05,2.97657130431342e-05,2.976633229615491e-05,2.79187710977622e-05,2.7919390350782908e-05,6.19253020707438e-10
1.06748040474741e-05,1.0684233506000473e-05,1.47847102852339e-05,1.4794139743760272e-05,1.45661108424388e-05,1.4575540300965173e-05,9.74854892755687e-06,9.757978386083242e-06,3.81035598154701e-06,3.819785440073383e-06,6.27180412397569e-07,6.366098709239413e-07,9.45312456351606e-07,9.547419148779784e-07,4.94968011875403e-06,4.959109577280403e-06,9.42945852637234e-09
-3.35928772535326e-05,-3.3576089070825326e-05,-2.84451768812278e-05,-2.8428388698520527e-05,-2.50137819565337e-05,-2.4996993773826426e-05,-2.63256071095782e-05,-2.6308818926870926e-05,-3.19391133158402e-05,-3.1922325133132925e-05,-3.81172716705249e-05,-3.8100483487817624e-05,-4.07388727670173e-05,-4.072208458431003e-05,-3.84658773083082e-05,-3.8449089125600926e-05,1.67881827072741e-08
1.04821228342073e-05,1.050422697674266e-05,6.31989061411179e-07,6.540932039465371e-07,-3.13229723853498e-06,-3.110193095999622e-06,2.84622081262923e-06,2.868324955164588e-06,1.44204040565094e-05,1.4442508199044758e-05,2.34992504799559e-05,2.3521354622491258e-05,2.58256523265172e-05,2.5847756469052558e-05,2.05646511372859e-05,2.058675527982126e-05,2.21041425353581e-08
4.25697464770962e-05,4.259474120064347e-05,4.36578050257391e-05,4.3682799749286374e-05,4.06592004261423e-05,4.068419514968957e-05,3.54676217814087e-05,3.549261650495597e-05,3.19462826252416e-05,3.197127734878887e-05,3.22950525416469e-05,3.232004726519417e-05,3.52750881506506e-05,3.530008287419787e-05,3.91455670195903e-05,3.9170561743137574e-05,2.49947235472705e-08
-2.29251950483133e-05,-2.2899911725012312e-05,-1.39321000144942e-05,-1.390681669119321e-05,-7.01001290792716e-06,-6.98472958462617e-06,-7.88770072128986e-06,-7.86241739798887e-06,-1.57727467980811e-05,-1.574746347478011e-05,-2.49883361913464e-05,-2.4963052868045412e-05,-3.04561959126324e-05,-3.0430912589331413e-05,-2.94069083650365e-05,-2.938162504173551e-05,2.52833233009897e-08
-2.73569220870063e-05,-2.733393988516942e-05,-3.34217698711953e-05,-3.339878766935842e-05,-3.34386151360863e-05,-3.341563293424942e-05,-2.6476128592487e-05,-2.645314639065012e-05,-1.73857743506924e-05,-1.736279214885552e-05,-1.24138648903438e-05,-1.2390882688506922e-05,-1.33053449154831e-05,-1.3282362713646222e-05,-1.9329889086139e-05,-1.9306906884302122e-05,2.29822018368782e-08
5.36602229657799e-05,5.367849745606056e-05,4.68342025047483e-05,4.685247699502896e-05,3.84557911927712e-05,3.8474065683051864e-05,3.46016748584092e-05,3.4619949348689865e-05,3.77454476187656e-05,3.776372210904626e-05,4.52908019242667e-05,4.530907641454736e-05,5.25186274712277e-05,5.2536901961508364e-05,5.57438584225947e-05,5.576213291287536e-05,1.82744902806615e-08
2.52039735170823e-06,2.5318953007292142e-06,1.18208780354347e-05,1.1832375984455685e-05,1.79693666427822e-05,1.798086459180318e-05,1.54256442792221e-05,1.5437142228243083e-05,6.43435410780996e-06,6.4458520568309445e-06,-2.14186804668009e-06,-2.130370097659106e-06,-6.29377569061326e-06,-6.2822777415922755e-06,-4.43767273196863e-06,-4.4261747829476455e-06,1.14979490209841e-08
-4.04240599843183e-05,-4.04209246198988e-05,-3.78290645630366e-05,-3.78259291986171e-05,-3.28680442757268e-05,-3.2864908911307304e-05,-2.8360493562731e-05,-2.8357358198311506e-05,-2.75861955657219e-05,-2.758306020130241e-05,-3.14559808487057e-05,-3.14528454842862e-05,-3.67778206555813e-05,-3.677468529116181e-05,-4.01505015822614e-05,-4.014736621784191e-05,3.1353644194927e-09
3.20359828886575e-05,3.20297931662062e-05,2.2264439664573e-05,2.22582499421217e-05,1.57310295478133e-05,1.5724839825361998e-05,1.81334001791623e-05,1.8127210456711e-05,2.77833354450989e-05,2.77771457226476e-05,3.75922965376148e-05,3.7586106815163494e-05,4.22656905240133e-05,4.2259500801561994e-05,3.98468725060805e-05,3.9840682783629194e-05,-6.18972245130115e-09
3.23244460018216e-05,3.23087240569931e-05,3.54620685486e-05,3.54463466037715e-05,3.35675356143541e-05,3.35518136695256e-05,2.67463726308415e-05,2.6730650686013005e-05,1.95146863255623e-05,1.9498964380733804e-05,1.73646018009053e-05,1.7348879856076805e-05,2.05169198641984e-05,2.0501197919369904e-05,2.64716973241545e-05,2.6455975379326003e-05,-1.57219448284967e-08
-4.02599616975512e-05,-4.028455591149195e-05,-3.08960255296725e-05,-3.0920619743613255e-05,-2.18758941851488e-05,-2.190048839908955e-05,-1.92123321852486e-05,-1.923692639918935e-05,-2.46289565434782e-05,-2.465355075741895e-05,-3.46327941639091e-05,-3.465738837784985e-05,-4.31677045078515e-05,-4.319229872179225e-05,-4.53052058322564e-05,-4.532980004619715e-05,-2.45942139407496e-08
-5.17119907992417e-06,-5.203068892963422e-06,-1.34107561380649e-05,-1.3442625951104153e-05,-2.14695984768634e-05,-2.1501468289902654e-05,-2.28541989564603e-05,-2.2886068769499553e-05,-1.76675663635672e-05,-1.769943617660645e-05,-1.07207383097344e-05,-1.0752608122773653e-05,-4.81093775280884e-06,-4.842807565848092e-06,-2.23013235629215e-06,-2.262002169331402e-06,-3.1869813039252e-08
3.28228805413224e-05,3.2786269186861137e-05,3.00298414414433e-05,2.9993230086982035e-05,2.68692054752837e-05,2.6832594120822434e-05,2.51509432716615e-05,2.5114331917200234e-05,2.64469689202902e-05,2.6410357565828935e-05,3.04088656911372e-05,3.0372254336675937e-05,3.39187292453555e-05,3.388211789089423e-05,3.45851781713904e-05,3.4548566816929136e-05,-3.66113544612646e-08
-4.19283580731677e-05,-4.1966336069591146e-05,-3.22972632119832e-05,-3.233524120840665e-05,-2.16847710703858e-05,-2.1722749066809248e-05,-1.78899042947884e-05,-1.792788229121185e-05,-2.30277730128086e-05,-2.306575100923205e-05,-3.26679913245097e-05,-3.270596932093315e-05,-4.1646688068292e-05,-4.168466606471545e-05,-4.54353637555608e-05,-4.547334175198425e-05,-3.79779964234497e-08
-1.46329293849181e-05,-1.4668271616490885e-05,-1.61137187775082e-05,-1.6149061009080984e-05,-1.88200700965667e-05,-1.8855412328139485e-05,-1.97917550057009e-05,-1.9827097237273685e-05,-1.95557935448117e-05,-1.9591135776384486e-05,-1.94214341454201e-05,-1.9456776376992885e-05,-1.83866346049345e-05,-1.8421976836507284e-05,-1.61457922339902e-05,-1.6181134465562985e-05,-3.53422315727842e-08
5.29977216908656e-05,5.2969308493388814e-05,4.54455431030258e-05,4.5417129905549014e-05,3.83669845833595e-05,3.833857138588272e-05,3.68276089236885e-05,3.679919572621172e-05,4.14045788277301e-05,4.137616563025332e-05,4.88955917764217e-05,4.886717857894492e-05,5.51879686843837e-05,5.515955548690692e-05,5.68861318915911e-05,5.6857718694114314e-05,-2.84131974767868e-08
-3.60002639807856e-06,-3.6173705264473523e-06,3.0507036767704e-06,3.0333595484016074e-06,9.44082772213339e-06,9.423483593764598e-06,1.04464066688391e-05,1.0429062540470306e-05,6.119092962148e-06,6.101748833779207e-06,3.99649796289871e-07,3.823056679210784e-07,-4.38989699168426e-06,-4.407241120053053e-06,-6.28926109217257e-06,-6.306605220541363e-06,-1.73441283687926e-08
-4.37231441286392e-05,-4.3725946676495156e-05,-3.84212765946851e-05,-3.8424079142541055e-05,-3.27879768896908e-05,-3.2790779437546755e-05,-2.98185622865322e-05,-2.9821364834388155e-05,-3.19852715503941e-05,-3.198807409825006e-05,-3.84435180425694e-05,-3.844632059042535e-05,-4.45263632478692e-05,-4.452916579572516e-05,-4.64120877652111e-05,-4.641489031306706e-05,-2.80254785595631e-09
2.33670120890432e-05,2.3381030777676752e-05,1.64962292842474e-05,1.651024797288095e-05,1.04904802021005e-05,1.0504498890734049e-05,1.05092150978608e-05,1.0523233786494349e-05,1.61131292975472e-05,1.612714798618075e-05,2.24632417827714e-05,2.247726047140495e-05,2.65567796603404e-05,2.657079834897395e-05,2.70767470024593e-05,2.709076569109285e-05,1.40186886335488e-08
-1.28508841733328e-06,-1.2536208356121863e-06,5.36943906428702e-07,5.684114881497958e-07,3.9732759486996e-06,4.004743530420694e-06,5.74241258346296e-06,5.773880165184054e-06,5.17703945576454e-06,5.208507037485634e-06,4.06468228686438e-06,4.096149868585474e-06,2.465196998785e-06,2.4966645805060937e-06,7.10203990791167e-08,1.0248798080021041e-07,3.14675817210937e-08
-6.21232961138232e-05,-6.20757208429907e-05,-5.26295246767884e-05,-5.2581949405955895e-05,-4.43334808902083e-05,-4.4285905619375796e-05,-4.32948218864662e-05,-4.32472466156337e-05,-5.01347984215742e-05,-5.00872231507417e-05,-5.98888416120068e-05,-5.984126634117429e-05,-6.69756274035843e-05,-6.69280521327518e-05,-6.78403855789615e-05,-6.7792810308129e-05,4.75752708325028e-08
7.97779521477054e-06,8.03806609177375e-06,6.05327657200698e-06,6.11354744901019e-06,2.52679307099931e-06,2.587063948002521e-06,8.94277194068531e-07,9.54548071071742e-07,1.20473387918238e-06,1.265004756185591e-06,1.69917286781724e-06,1.7594437448204508e-06,3.27308479334377e-06,3.3333556703469807e-06,6.31369598060534e-06,6.373966857608551e-06,6.02708770032108e-08
4.80987151785204e-05,4.816635928299631e-05,4.2310322478296e-05,4.237796658277191e-05,3.74521359495896e-05,3.751978005406551e-05,3.66009462134531e-05,3.666859031792901e-05,4.08776520241151e-05,4.094529612859101e-05,4.77842892091547e-05,4.785193331363061e-05,5.25333894796817e-05,5.260103358415761e-05,5.23667565848041e-05,5.243440068928001e-05,6.76441044759071e-08
-4.33821969158569e-05,-4.3313975094594536e-05,-3.85455172278709e-05,-3.847729540660854e-05,-3.27328488539958e-05,-3.266462703273344e-05,-3.13138591974382e-05,-3.124563737617584e-05,-3.47800346280209e-05,-3.471181280675854e-05,-3.90507845560963e-05,-3.898256273483394e-05,-4.23607904323191e-05,-4.229256861105674e-05,-4.4377484607258e-05,-4.430926278599564e-05,6.82218212623606e-08
1.48732612380329e-05,1.4934479778217914e-05,1.48079800417665e-05,1.4869198581951514e-05,1.29113899159782e-05,1.2972608456163214e-05,1.1338329639212e-05,1.1399548179397014e-05,1.01774857214674e-05,1.0238704261652414e-05,8.91028170083831e-06,8.971500241023324e-06,9.27650893327935e-06,9.337727473464364e-06,1.20839938179535e-05,1.2145212358138515e-05,6.12185401850136e-08
4.66084577375129e-05,4.6655176252525276e-05,3.72791064417328e-05,3.732582495674518e-05,2.85007814026824e-05,2.8547499917694775e-05,2.63213280518163e-05,2.6368046566828676e-05,3.17107107575009e-05,3.175742927251328e-05,4.08858349468277e-05,4.093255346184008e-05,4.87814643744639e-05,4.882818288947628e-05,5.11853273426323e-05,5.123204585764468e-05,4.67185150123768e-08
-4.23445160825556e-05,-4.231876238595669e-05,-3.74011927831063e-05,-3.737543908650739e-05,-3.10052884515761e-05,-3.0979534754977186e-05,-2.85098218221226e-05,-2.8484068125523682e-05,-3.06799196971819e-05,-3.0654166000582985e-05,-3.4567903133841e-05,-3.454214943724208e-05,-3.8817480274859e-05,-3.8791726578260084e-05,-4.23055513732991e-05,-4.2279797676700185e-05,2.57536965989167e-08
-4.06767227979572e-05,-4.067646654077934e-05,-3.53518095236653e-05,-3.5351553266487435e-05,-3.1443232110786e-05,-3.1442975853608134e-05,-3.1339957113458e-05,-3.1339700856280136e-05,-3.5133191106286e-05,-3.5132934849108134e-05,-4.07671272841174e-05,-4.0766871026939536e-05,-4.48359357012258e-05,-4.483567944404793e-05,-4.47198078077572e-05,-4.4719551550579334e-05,2.56257177868217e-10
4.25721628317995e-05,4.2545043239361066e-05,3.5885779377512e-05,3.585865978507356e-05,2.92612877466963e-05,2.9234168154257864e-05,2.8495268145612e-05,2.8468148553173566e-05,3.3071818839092e-05,3.3044699246653564e-05,3.855425966579e-05,3.8527140073351564e-05,4.28333443144644e-05,4.2806224722025964e-05,4.4773569800465e-05,4.474645020802657e-05,-2.71195924384357e-08
1.05416020767874e-05,1.0488311947516694e-05,9.84152986895688e-06,9.788239739686174e-06,9.21784369248626e-06,9.164553563215553e-06,8.33416320264521e-06,8.280873073374504e-06,8.11274868383878e-06,8.059458554568073e-06,9.69162042454093e-06,9.638330295270223e-06,1.15990853595165e-05,1.1545795230245793e-05,1.1711769018632e-05,1.1658478889361293e-05,-5.32901292707061e-08
-2.85843753678771e-05,-2.865949107967255e-05,-2.28237742590394e-05,-2.289888997083485e-05,-1.7791109336015e-05,-1.786622504781045e-05,-1.74817079861867e-05,-1.755682369798215e-05,-2.14022631996096e-05,-2.147737891140505e-05,-2.66319814062681e-05,-2.670709711806355e-05,-3.06816382912757e-05,-3.075675400307115e-05,-3.15633892999152e-05,-3.163850501171065e-05,-7.5115711795449e-08
3.28208046951639e-05,3.2731000644536306e-05,3.21478457619756e-05,3.205804171134801e-05,2.96841981224611e-05,2.959439407183351e-05,2.8430153366692e-05,2.834034931606441e-05,2.81022633497064e-05,2.801245929907881e-05,2.72301091382985e-05,2.714030508767091e-05,2.75571288855438e-05,2.7467324834916208e-05,3.02765288056359e-05,3.018672475500831e-05,-8.9804050627591e-08
2.15244224138003e-05,2.1429133699390275e-05,1.73636593935885e-05,1.7268370679178475e-05,1.38988085429598e-05,1.3803519828549775e-05,1.34565326608458e-05,1.3361243946435775e-05,1.60824536868031e-05,1.5987164972393075e-05,2.038545161817e-05,2.0290162903759974e-05,2.3825224223227e-05,2.3729935508816974e-05,2.42025987009129e-05,2.410730998650287e-05,-9.52887144100253e-08
-3.77150097422027e-05,-3.780553640534363e-05,-3.39130854892393e-05,-3.400361215238023e-05,-2.91721170318802e-05,-2.9262643695021132e-05,-2.77131161954408e-05,-2.780364285858173e-05,-2.97057146282235e-05,-2.9796241291364433e-05,-3.28896141690582e-05,-3.2980140832199126e-05,-3.59687708913171e-05,-3.605929755445803e-05,-3.8043812914038e-05,-3.813433957717893e-05,-9.05266631409304e-08
-3.94906817506735e-06,-4.024736345512523e-06,-1.45274720901152e-06,-1.528415379456694e-06,-1.7522480173179e-07,-2.50892972176964e-07,-5.00401445411198e-07,-5.76069615856372e-07,-2.39852433166903e-06,-2.4741925021142043e-06,-5.38167897450986e-06,-5.457347144955034e-06,-7.44642238587598e-06,-7.522090556321154e-06,-6.73344489601195e-06,-6.809113066457124e-06,-7.5668170445174e-08
5.02100302089558e-05,5.015795500009205e-05,4.67884419830904e-05,4.6736366774226646e-05,4.19915959949852e-05,4.193952078612145e-05,4.02645841697015e-05,4.021250896083775e-05,4.21200225353861e-05,4.2067947326522344e-05,4.53673863477752e-05,4.5315311138911445e-05,4.85387145652556e-05,4.848663935639185e-05,5.04912148829812e-05,5.043913967411745e-05,-5.20752088637522e-08
-2.74834523055705e-05,-2.7505631575581874e-05,-2.65280827914801e-05,-2.6550262061491473e-05,-2.37953215795562e-05,-2.381750084956757e-05,-2.1931938254032e-05,-2.1954117524043374e-05,-2.16746225351721e-05,-2.1696801805183473e-05,-2.18637466545142e-05,-2.1885925924525574e-05,-2.28306328732196e-05,-2.2852812143230973e-05,-2.53639257919842e-05,-2.5386105061995572e-05,-2.21792700113728e-08
-2.12760147838661e-05,-2.1265213232498364e-05,-1.4886188986825e-05,-1.4875387435457262e-05,-9.87276784898048e-06,-9.861966297612743e-06,-9.58322355197445e-06,-9.572422000606713e-06,-1.42879747363236e-05,-1.4277173184955862e-05,-2.13782063222407e-05,-2.136740477087296e-05,-2.63969348702813e-05,-2.638613331891356e-05,-2.60678681022043e-05,-2.6057066550836563e-05,1.08015513677378e-08
